Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/XKMai/ip.git,master,XKMai,,CS2103T-T16-1 MAI .. KAI,,
https://github.com/ryan-toh/ip.git,master,ryan-toh,,CS2103T-T12-1 TOH ..RYAN,,
https://github.com/Nsohko/ip.git,master,Nsohko,,CS2103T-F14a-1 SARI..EDDY,Sai,
https://github.com/winstonzhaozhekai/ip.git,master,winstonzhaozhekai,,CS2103T-F10-2 ZHAO..STON,,
https://github.com/mizzat03/ip.git,master,mizzat03,,CS2103T-F14a-1 MUHA..AFIQ,Izzat,
https://github.com/itisnotjord/ip.git,master,itisnotjord,,CS2103T-F14a-1 GOH ..RDAN,,
https://github.com/Print2PDF/ip.git,master,Print2PDF,,CS2103T-F15b-1 ENG .. WEN,,
https://github.com/yorick-chew/ip.git,master,yorick-chew,,CS2103T-F08a-2 CHEW..RICK,Yorick Chew,
https://github.com/hansonpoh/ip.git,master,hansonpoh,,CS2103T-T15-4 POH ..NSON,,
https://github.com/keezhenxian/ip.git,master,keezhenxian,,CS2103T-F14b-4 KEE ..XIAN,,
https://github.com/RagingRogue/ip.git,master,RagingRogue,,CS2103T-F08b-3 LEE .. KYE,Lee Ray Kye,
https://github.com/Javier-Lua/ip.git,master,Javier-Lua,,CS2103T-T15-4 LUA ..VIER,,
https://github.com/tathan08/ip.git,master,tathan08,,CS2103T-T08-4 TAN ..THAN,,
https://github.com/IsaiahToh/ip.git,master,IsaiahToh,,CS2103T-T17-3 ISAI..MING,,
https://github.com/TimothySzu/ip.git,master,TimothySzu,,CS2103T-T17-3 TIMO.. ERN,tim,
https://github.com/Butanol/ip.git,master,Butanol,,CS2103T-W09-2 DYLA.. HAO,,
https://github.com/Sengernest/ip.git,master,Sengernest,,CS2103T-T12-3 ERNE..QING,,
https://github.com/Arshelle9912/ip.git,master,Arshelle9912,,CS2103T-W12-3 RAHE..ELLE,,
https://github.com/yhtham7/ip.git,master,yhtham7,,CS2103T-F14a-4 THAM.. HUI,,
https://github.com/fsythw/ip.git,master,fsythw,,CS2103T-T16-4 WAN ..BETH,,
https://github.com/sj-c/ip.git,master,sj-c,,CS2103T-W11-2 CHIA.. JIE,sinjie,
https://github.com/soakedumplings/ip.git,master,soakedumplings,,CS2103T-F08a-1 BRID..NING,brid-get-it,
https://github.com/Bobbodi/ip.git,master,Bobbodi,,CS2103T-F10-2 LEE ..XUAN,,
https://github.com/Joulenergy/ip.git,master,Joulenergy,,CS2103T-T11-3 HUAN..LENE,,
https://github.com/Hypovolemic/ip.git,master,Hypovolemic,,CS2103T-F14b-1 WONG..FENG,,
https://github.com/MarcusLeongHK/ip.git,master,MarcusLeongHK,,CS2103T-F08b-4 MARC..KITT,Marcus,
https://github.com/camlin-tan/ip.git,master,camlin-tan,,CS2103T-F11-1 TAN ..MLIN,,
https://github.com/wengmu/ip.git,master,wengmu,,CS2103T-W10-2 CHIA.. MUN,FlyingMun,
https://github.com/WeeJean/ip.git,master,WeeJean,,CS2103T-F10-4 KOH ..JEAN,Wee Jean,
https://github.com/lanjia0/ip.git,master,lanjia0,,CS2103T-F15a-2 NICH.. KIT,,
https://github.com/ckwflash/ip.git,master,ckwflash,,CS2103T-F14b-2 CHEN..IWEN,,
https://github.com/allanrobert0203/ip.git,master,allanrobert0203,,CS2103T-F14a-2 JOHN..BERT,Allan Robert,
https://github.com/kellytxn/ip.git,master,kellytxn,,CS2103T-F13-3 TAN ..ELLY,kellytan,
https://github.com/nghnaomi/ip.git,master,nghnaomi,,CS2103T-F14b-4 NAOM.. HUI,Naomi Ng;naomi,
https://github.com/dylandaaa/ip.git,master,dylandaaa,,CS2103T-T16-3 DYLA..TONO,dylan,
https://github.com/Haffner32/ip.git,master,Haffner32,,CS2103T-W12-2 CHAN..ADEN,adenchan,
https://github.com/wafflescloud/ip.git,master,wafflescloud,,CS2103T-W14-3 ZHEN..JOAN,,
https://github.com/wailon18/ip.git,master,wailon18,,CS2103T-T10-2 CHAN.. LUN,Wei Lun,
https://github.com/salmonkarp/ip.git,master,salmonkarp,,CS2103T-F08b-4 GARY..YONO,,
https://github.com/CelineTj16/ip.git,master,CelineTj16,,CS2103T-T16-3 JOSE..NDRA,celine,
https://github.com/enamourous/ip.git,master,enamourous,,CS2103T-W11-2 FOO .. JUN,,
https://github.com/landonzhao/ip.git,master,landonzhao,,CS2103T-F08b-1 ZHAO..TONG,,
https://github.com/Junronggg/ip.git,master,Junronggg,,CS2103T-W11-1 MU J..RONG,Junrong;junrong,
https://github.com/forestmu/ip.git,master,forestmu,,CS2103T-T09-1 LIM .. LIN,song lin,
https://github.com/ZhuRong818/ip.git,master,ZhuRong818,,CS2103T-T10-3 ZHU ..RONG,,
https://github.com/jeffreylim24/ip.git,master,jeffreylim24,,CS2103T-F08a-1 JEFF..HEIN,Jeffrey Lim @ Htet Min Shein,
https://github.com/Starishine/ip.git,master,Starishine,,CS2103T-T12-1 BAWA..ANIA,,
https://github.com/wuliyq/ip.git,master,wuliyq,,CS2103T-T15-1 GONG..QIAN,yiqian,
https://github.com/estelle-ljgui/ip.git,master,estelle-ljgui,,CS2103T-W14-4 ESTE.. HUI,Estelle,
https://github.com/charqxx/ip.git,master,charqxx,,CS2103T-T13-1 CHAR.. XIA,Charlize,
https://github.com/Orange-eat97/ip.git,master,Orange-eat97,,CS2103T-W13-1 CHEN.. CHI,,
https://github.com/baozzii/ip.git,master,baozzii,,CS2103T-T17-3 LIU ..HANG,Yuhang,
https://github.com/llamawithhats/ip.git,master,llamawithhats,,CS2103T-F14b-3 YU T..NGAN,Yu Tingan,
https://github.com/reineoeq/ip.git,master,reineoeq,,CS2103T-T13-4 REIN.. QIN,,
https://github.com/meltedham/ip.git,master,meltedham,,CS2103T-T11-2 YEOW.. YEN,,
https://github.com/iZUMi-kyouka/ip.git,master,iZUMi-kyouka,,CS2103T-F09-3 FLOR..NELY,Florian Viorel Tanely,
https://github.com/watermelonisred/ip.git,master,watermelonisred,,CS2103T-W11-1 LIN .. XIN,yu xin,
https://github.com/samthambad/ip.git,master,samthambad,,CS2103T-T14-1 THAM..NAND,,
https://github.com/Anxinal/ip.git,master,Anxinal,,CS2103T-F09-2 AN X..XIAO,An Xiao,
https://github.com/jongrazi/ip.git,master,jongrazi,,CS2103T-T09-4 JONA..YANG,,
